title,authors,publication_info,snippet,cited_by_count,cited_by_url,related_articles_url,article_url,doi,pdf_url,pdf_path
Mlaas: Machine learning as a service,"['M Ribeiro', 'K Grolinger…']","{'publication': '… on machine learning and …', 'year': 2015}","… own machine learning solutions. … learning curve of how machine learning works and when building their own solutions or integrating with third-party ones. In addition, machine learning …",536,"https://scholar.google.com/scholar?cites=18366882869556951046&as_sdt=2005&sciodt=0,5&hl=en",,https://ieeexplore.ieee.org/abstract/document/7424435/,,,
Foundations of machine learning,"['V Goar', 'NS Yadav']","{'publication': 'Intelligent Optimization Techniques for Business …', 'year': 2024}",… Machine learning is a rapidly evolving domain with wide-ranging … Machine learning is a pivotal technology that has revolutionized … on their journey into the world of machine learning . …,7332,"https://scholar.google.com/scholar?cites=17866411275762623720&as_sdt=2005&sciodt=0,5&hl=en",,https://www.igi-global.com/chapter/foundations-of-machine-learning/344516,,,
Elements of machine learning,['P Langley'],"{'publication': 'books.google.com', 'year': 1996}","… the goals that motivate researchers to study machine learning . After this, we present a framework for machine learning that serves as an organization for the later sections in the chapter. …",972,"https://scholar.google.com/scholar?cites=15730120067733298691&as_sdt=2005&sciodt=0,5&hl=en",,https://books.google.com/books?hl=en&lr=&id=TNg5qVoqRtUC&oi=fnd&pg=PR9&dq=machine+learning&ots=Q5ot0vtZOq&sig=K_4QMTiMPHdzDHXwgxHfC2UcQ4E,,,
A review of machine learning and deep learning applications,"['PP Shinde', 'S Shah']","{'publication': '2018 Fourth international conference on …', 'year': 2018}","… learning . A review of these past and future application domains, sub-domains, and applications of machine learning and deep learning … to study machine learning and deep learning . It …",1172,"https://scholar.google.com/scholar?cites=5866269323493626547&as_sdt=2005&sciodt=0,5&hl=en",,https://ieeexplore.ieee.org/abstract/document/8697857/,,,
Statistics for machine learning,['P Dangeti'],"{'publication': 'books.google.com', 'year': 2017}","… I believe that any machine learning practitioner should … machine learning problem in an efficient manner. In this book, we will cover the fundamentals of statistics and machine learning , …",577,"https://scholar.google.com/scholar?cites=17109195804168229300&as_sdt=2005&sciodt=0,5&hl=en",,https://books.google.com/books?hl=en&lr=&id=C-dDDwAAQBAJ&oi=fnd&pg=PP1&dq=machine+learning&ots=j36y3sr0-v&sig=sL9ToFqC5P2YAsXCK611Xl1r_r0,,,
,"['S Shalev-Shwartz', 'S Ben-David']","{'publication': 'Cambridge university press', 'year': 2014}",,9105,"https://scholar.google.com/scholar?cites=4523317814219906072&as_sdt=2005&sciodt=0,5&hl=en",,,,,
The discipline of machine learning,['TM Mitchell'],"{'publication': 'cs.cmu.edu', 'year': 2006}","… Over the past 50 years the study of Machine Learning has … theories of learning processes, has designed learning algorithms … that has emerged as Machine Learning , the fundamental …",1037,"https://scholar.google.com/scholar?cites=9688577241490726474&as_sdt=2005&sciodt=0,5&hl=en",,https://www.cs.cmu.edu/afs/cs/usr/mitchell/ftp/pubs/MachineLearningTR.pdf,,,
Machine learning algorithms: a review,['A Dey'],"{'publication': 'International Journal of Computer Science and …', 'year': 2016}","… In that case, we apply machine learning [1]. With the abundance of datasets available, the … machine learning is in rise. Many industries from medicine to military apply machine learning …",813,"https://scholar.google.com/scholar?cites=7279187146364742134&as_sdt=2005&sciodt=0,5&hl=en",,https://www.researchgate.net/profile/Sindayigaya-Laurent/publication/362711297_Machine_Learning_Algorithms_A_Review/links/62fb5a51e3c7de4c345efb09/Machine-Learning-Algorithms-A-Review.pdf,,,
Machine learning and its applications to biology,"['AL Tarca', 'VJ Carey', 'X Chen', 'R Romero…']","{'publication': 'PLoS computational …', 'year': 2007}","… and/or supervised machine learning techniques abound in the … Continuous variable prediction with machine learning … both supervised and unsupervised machine learning methods, we …",867,"https://scholar.google.com/scholar?cites=11926010432910747519&as_sdt=2005&sciodt=0,5&hl=en",,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.0030116,,,
Machine learning from theory to algorithms: an overview,"['J Alzubi', 'A Nayyar', 'A Kumar']","{'publication': 'Journal of physics: conference …', 'year': 2018}","… The primary intent of this work is to give insight into why machine learning is the future. … of development of Machine Learning to the present day, various machine learning algorithms, …",1110,"https://scholar.google.com/scholar?cites=17736299524518827362&as_sdt=2005&sciodt=0,5&hl=en",,https://iopscience.iop.org/article/10.1088/1742-6596/1142/1/012012/meta,,,
